GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-80.71264013499967 38.66551020200046),2014,West Virginia,1850569,,,,,,,1318,650,1968
POINT (-89.81637074199966 44.39319117400049),2014,Wisconsin,5753199,53,24,77,14663,12060,26723,3129,2004,5133
POINT (-108.10983035299967 43.23554134300048),2014,Wyoming,583159,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2015,Alabama,4854803,30,22,52,,,,,,
POINT (-147.72205903599973 64.84507995700051),2015,Alaska,738430,,,,,,,,,
POINT (-111.76381127699972 34.865970280000454),2015,Arizona,6832810,49,27,76,12737,11051,23788,2326,1669,3995
POINT (-92.27449074299966 34.74865012400045),2015,Arkansas,2979732,15,15,30,5159,4405,9564,1015,571,1586
POINT (-120.99999953799971 37.63864012300047),2015,California,38904296,241,152,393,,,,,,
POINT (-106.13361092099967 38.843840757000464),2015,Colorado,5454328,28,18,46,,,,1433,1130,2563
POINT (-72.64984095199964 41.56266102000046),2015,Connecticut,3588561,34,14,48,,,,,,
POINT (-75.57774116799965 39.008830667000495),2015,Delaware,942065,,,,,,,,,
POINT (-77.036871 38.907192),2015,District of Columbia,677014,,,,,,,596,338,934
POINT (-81.92896053899966 28.932040377000476),2015,Florida,20219111,110,65,175,53377,41641,95018,13323,6927,20250
POINT (-83.62758034599966 32.83968109300048),2015,Georgia,10183353,49,43,92,,,,,,
POINT (-157.85774940299973 21.304850435000446),2015,Hawaii,1422999,,,,3338,3087,6425,537,398,935
POINT (-114.3637300419997 43.682630005000476),2015,Idaho,1652495,10.5,10.5,21,,,,,,
POINT (-88.99771017799969 40.48501028300046),2015,Illinois,12859585,93,64,157,,,,,,
POINT (-86.14996019399968 39.766910452000445),2015,Indiana,6611442,60,30,90,,,,,,
POINT (-93.81649055599968 42.46940091300047),2015,Iowa,3122541,25,16,41,4854,3872,8726,867,486,1353
POINT (-98.20078122699965 38.34774030000045),2015,Kansas,2910717,14.5,14.5,29,,,,,,
POINT (-84.77497104799966 37.645970271000465),2015,Kentucky,4429126,28,10,38,9087,6920,16007,2144,1061,3205
POINT (-92.44568007099969 31.31266064400046),2015,Louisiana,4666998,20,27,47,,,,,,
POINT (-68.98503133599962 45.254228894000505),2015,Maine,1329098,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2015,Maryland,5988528,46,33,79,16635,14517,31152,3237,1928,5165
POINT (-72.08269067499964 42.27687047000046),2015,Massachusetts,6797484,58,26,84,15765,12970,28735,3757,2172,5929
POINT (-84.71439026999968 44.6613195430005),2015,Michigan,9934483,62,50,112,,,,6167,3181,9348
POINT (-94.79420050299967 46.35564873600049),2015,Minnesota,5484002,45,16,61,7697,7108,14805,1282,882,2164
POINT (-89.53803082499968 32.745510099000455),2015,Mississippi,2990231,25,27,52,,,,,,
POINT (-92.56630005299968 38.635790776000476),2015,Missouri,6075411,40,32,72,,,,,,
POINT (-109.42442064499971 47.06652897200047),2015,Montana,1031495,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2015,Nebraska,1892059,20,16,36,2374,2099,4473,554,287,841
POINT (-117.07184056399967 39.493240390000494),2015,Nevada,2868531,12,12,24,5948,5205,11153,1027,677,1704
POINT (-71.50036091999965 43.65595011300047),2015,New Hampshire,1337480,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2015,New Jersey,8870312,75,41,116,25815,21155,46970,5693,3334,9027
POINT (-106.24058098499967 34.52088095200048),2015,New Mexico,2090071,13,13,26,,,,672,574,1246
POINT (-75.54397042699964 42.82700103200045),2015,New York,19657321,189,106,295,,,,,,
POINT (-79.15925046299964 35.466220975000454),2015,North Carolina,10037218,56,40,96,22307,17699,40006,4134,2281,6415
POINT (-100.11842104899966 47.47531977900047),2015,North Dakota,755537,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2015,Ohio,11622315,97,62,159,,,,,,
POINT (-97.52107021399968 35.47203135600046),2015,Oklahoma,3910518,37,15,52,,,,,,
POINT (-120.15503132599969 44.56744942400047),2015,Oregon,4018542,38,15,53,,,,935,616,1551
POINT (-77.86070029399963 40.79373015200048),2015,Pennsylvania,12789838,111,44,155,,,,,,
POINT (-71.52247031399963 41.70828019300046),2015,Rhode Island,1056886,,,,2311,1739,4050,677,334,1011
POINT (-81.04537120699968 33.998821303000454),2015,South Carolina,4896006,32,25,57,11522,9081,20603,2123,1160,3283
POINT (-100.3735306369997 44.353130053000484),2015,South Dakota,854663,,,,,,,278,193,471
POINT (-85.77449091399967 35.68094058000048),2015,Tennessee,6595354,34,30,64,,,,,,
POINT (-99.42677020599967 31.827240407000488),2015,Texas,27468531,142,99,241,,,,,,
POINT (-111.58713063499971 39.360700171000474),2015,Utah,2983626,25,15,40,,,,,,
POINT (-72.51764079099962 43.62538123900049),2015,Vermont,625810,,,,1063,784,1847,144,67,211
POINT (-78.45789046299967 37.54268067400045),2015,Virginia,8367303,59,31,90,,,,,,
POINT (-120.47001078999972 47.52227862900048),2015,Washington,7167287,54,34,88,,,,1674,1055,2729
POINT (-80.71264013499967 38.66551020200046),2015,West Virginia,1843332,12.5,12.5,25,,,,925,416,1341
POINT (-89.81637074199966 44.39319117400049),2015,Wisconsin,5762927,37,29,66,10554,8664,19218,2114,1273,3387
POINT (-108.10983035299967 43.23554134300048),2015,Wyoming,586389,,,,,,,,,
POINT (-86.63186076199969 32.84057112200048),2016,Alabama,4866824,28,20,48,,,,,,
POINT (-147.72205903599973 64.84507995700051),2016,Alaska,742575,,,,,,,,,
